"search-number","evaluation","number-people*","infectiousness*","duration*","chance-recover*","fitness","num-replicates","best-fitness-so-far"
"1","10","150","25","59","11","35.76216867153752","10","35.76216867153752"
"1","20","150","71","53","73","50.233535245231835","10","50.233535245231835"
"1","30","150","68","89","71","63.51281467827115","10","63.51281467827115"
"1","40","150","26","12","25","0.12099436903277613","10","63.51281467827115"
"1","50","150","91","46","28","36.268122605536895","10","63.51281467827115"
"1","60","150","61","30","36","28.969149393305525","10","63.51281467827115"
"1","70","150","0","47","5","0.2602906675998867","10","63.51281467827115"
"1","80","150","50","49","46","46.28562348399768","10","63.51281467827115"
"1","90","150","23","66","57","47.01823693139806","10","63.51281467827115"
"1","100","150","4","20","1","0.14297813626070488","10","63.51281467827115"
"1","110","150","82","77","32","54.671988473748115","10","63.51281467827115"
"1","120","150","16","68","36","43.31129936458818","10","63.51281467827115"
"1","130","150","69","70","5","17.20037426002251","10","63.51281467827115"
"1","140","150","24","7","38","0.06300884549806494","10","63.51281467827115"
"1","150","150","52","3","34","0.030264096807891987","10","63.51281467827115"
"1","160","150","72","59","56","54.254859930617805","10","63.51281467827115"
"1","170","150","15","0","24","0.006660006660006658","10","63.51281467827115"
"1","180","150","68","90","18","52.85025348767901","10","63.51281467827115"
"1","190","150","50","69","3","16.48646187255067","10","63.51281467827115"
"1","200","150","87","57","41","50.07707986693903","10","63.51281467827115"
"1","210","150","7","75","86","8.828859403923776","10","63.51281467827115"
"1","220","150","74","41","67","44.707163358819145","10","63.51281467827115"
"1","230","150","85","19","80","19.31287926116979","10","63.51281467827115"
"1","240","150","82","93","73","64.75082797652794","10","64.75082797652794"
"1","250","150","38","18","46","8.669630771395989","10","64.75082797652794"
"1","260","150","25","10","82","0.0932585729888007","10","64.75082797652794"
"1","270","150","30","75","77","50.78840802910362","10","64.75082797652794"
"1","280","150","18","18","97","0.1850729950999816","10","64.75082797652794"
"1","290","150","8","40","93","0.3351696957524081","10","64.75082797652794"
"1","300","150","68","7","89","0.09946454478189651","10","64.75082797652794"
"2","10","150","54","19","39","21.219056677365298","10","21.219056677365298"
"2","20","150","32","81","34","54.36606303428126","10","54.36606303428126"
"2","30","150","68","79","89","57.35204065264006","10","57.35204065264006"
"2","40","150","31","99","18","54.592791676221076","10","57.35204065264006"
"2","50","150","86","57","26","40.36365604609975","10","57.35204065264006"
"2","60","150","44","46","88","38.796038037679295","10","57.35204065264006"
"2","70","150","27","64","12","40.14741001158836","10","57.35204065264006"
"2","80","150","89","21","51","24.95889423814989","10","57.35204065264006"
"2","90","150","75","7","37","0.10107264358438868","10","57.35204065264006"
"2","100","150","90","25","28","21.103307725343285","10","57.35204065264006"
"2","110","150","94","51","64","51.97012945312986","10","57.35204065264006"
"2","120","150","75","81","8","25.169574089171117","10","57.35204065264006"
"2","130","150","4","86","73","1.3503147852603319","10","57.35204065264006"
"2","140","150","51","7","36","0.08208605154725045","10","57.35204065264006"
"2","150","150","82","14","70","12.47328503470203","10","57.35204065264006"
"2","160","150","96","38","20","24.102828762953784","10","57.35204065264006"
"2","170","150","25","36","64","25.78823840683878","10","57.35204065264006"
"2","180","150","7","20","16","0.15893809214532792","10","57.35204065264006"
"2","190","150","69","22","32","19.903425525068556","10","57.35204065264006"
"2","200","150","26","86","25","52.39923358881047","10","57.35204065264006"
"2","210","150","75","89","99","56.34605307754215","10","57.35204065264006"
"2","220","150","25","7","94","0.061698758416628786","10","57.35204065264006"
"2","230","150","71","81","4","12.09829169463306","10","57.35204065264006"
"2","240","150","91","92","54","63.87361334270381","10","63.87361334270381"
"2","250","150","0","63","96","0.32242572438998823","10","63.87361334270381"
"2","260","150","4","59","52","0.4087266033158367","10","63.87361334270381"
"2","270","150","83","82","23","53.098036213337636","10","63.87361334270381"
"2","280","150","23","37","64","24.756226816082755","10","63.87361334270381"
"2","290","150","44","71","68","55.60587383318165","10","63.87361334270381"
"2","300","150","0","74","30","0.3453403325043368","10","63.87361334270381"
"3","10","150","74","84","47","60.22769503402374","10","60.22769503402374"
"3","20","150","43","53","14","33.65008878694977","10","60.22769503402374"
"3","30","150","74","34","47","37.194510637376915","10","60.22769503402374"
"3","40","150","2","32","26","0.20137166554015065","10","60.22769503402374"
"3","50","150","90","58","93","48.83125719212111","10","60.22769503402374"
"3","60","150","20","93","80","50.32008520053729","10","60.22769503402374"
"3","70","150","39","63","29","47.226875131950386","10","60.22769503402374"
"3","80","150","56","30","25","23.555416541075346","10","60.22769503402374"
"3","90","150","21","13","84","0.11898191156130875","10","60.22769503402374"
"3","100","150","47","20","64","18.521941281078547","10","60.22769503402374"
"3","110","150","95","60","89","51.444830635814085","10","60.22769503402374"
"3","120","150","28","61","81","42.68996552535371","10","60.22769503402374"
"3","130","150","4","41","95","0.3206246518857824","10","60.22769503402374"
"3","140","150","96","6","6","0.08447182610986373","10","60.22769503402374"
"3","150","150","96","81","43","58.945417242427766","10","60.22769503402374"
"3","160","150","25","60","73","41.76111964676764","10","60.22769503402374"
"3","170","150","78","2","77","0.024000409645702225","10","60.22769503402374"
"3","180","150","33","63","29","45.928955271817124","10","60.22769503402374"
"3","190","150","19","46","93","23.545323358201678","10","60.22769503402374"
"3","200","150","26","53","61","41.03476263253762","10","60.22769503402374"
"3","210","150","48","2","91","0.02147094580900485","10","60.22769503402374"
"3","220","150","57","99","69","64.65507643595332","10","64.65507643595332"
"3","230","150","27","57","0","14.1581166808617","10","64.65507643595332"
"3","240","150","60","4","25","0.04105610316374982","10","64.65507643595332"
"3","250","150","98","63","71","56.884104865598204","10","64.65507643595332"
"3","260","150","21","17","28","0.16678855029916176","10","64.65507643595332"
"3","270","150","1","50","7","0.2935870456827339","10","64.65507643595332"
